指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2021/2/3取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2019年度：1,758件、2020年度：2,130件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
品川区,大井４丁目,-,東京都品川区大井4-17-16,35.601653,139.73145,ローソン 大井店,,,,,,,
品川区,南大井６丁目,-,東京都品川区南大井6丁目26-3大森ベルポートD館1階,35.588708,139.73166,セブンイレブン AIM大森ベルポート店,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1-11-2ゲートシティ大崎イースト1F,35.618651,139.73194,ローソン ゲートシティ大崎店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1丁目22番2号,35.606828,139.73222,セブンイレブン 大井町駅前中央通り店,,,,,,,
品川区,大井３丁目,-,東京都品川区大井3-4-8,35.603314,139.73229,ファミリーマート 品川大井三ツ又店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1丁目11-3,35.607547,139.73234,ファミリーマート 大井町駅西店,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1-17-2,35.617744,139.73245,ローソン 大崎店,,,,,,,
品川区,南大井３丁目,-,東京都品川区南大井3-35ー10,35.587527,139.73262,ファミリーマート いすゞ本社前店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1丁目49-10,35.605692,139.73298,セブンイレブン 品川大井1丁目店,,,,,,,
品川区,南大井５丁目,-,東京都品川区南大井5-27-14,35.593262,139.73319,セブンイレブン 南大井水神店,,,,,,,
品川区,北品川６丁目,-,東京都品川区北品川6丁目7-29,35.623788,139.73387,ファミリーマート ガーデンシティ品川御殿山店,,,,,,,
品川区,南大井３丁目,-,東京都品川区南大井3-24-5,35.588994,139.73392,ローソン 大森海岸駅前店,,,,,,,
品川区,南大井３丁目,-,東京都品川区南大井3-6-18,35.592142,139.73397,ローソン・スリーエフ 南大井店,,,,,,,
品川区,大井４丁目,-,東京都品川区大井4-3-1,35.604347,139.73412,セブンイレブン 品川大井4丁目店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1-50-5,35.605243,139.73439,ファミリーマート 阪急大井町ガーデン店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1丁目50-5,35.605243,139.73439,ファミリーマート アワーズイン阪急ツイン館店,,,,,,,
