指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/3取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：430件、2020年度：423件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種類
新宿区,神楽坂５丁目,-,東京都新宿区神楽坂5-28 シュエット神楽坂 2F,35.7018348,139.7382456,エニタイムフィットネス 神楽坂駅前店,スポーツクラブ/フィットネスクラブ
新宿区,四谷１丁目,-,東京都新宿区四谷1-無番地 外濠公園内,35.687243,139.7305292,ジェクサー・フィットネスクラブ 四谷店,スポーツクラブ/フィットネスクラブ
新宿区,榎町,-,東京都新宿区榎町43-1 ユニゾ神楽坂ビル 1F,35.704544,139.728652,エニタイムフィットネス 神楽坂店,スポーツクラブ/フィットネスクラブ
新宿区,下宮比町,-,東京都新宿区下宮比町2-1 第一勧銀稲垣ビル B1,35.703017,139.743813,エニタイムフィットネス 飯田橋店,スポーツクラブ/フィットネスクラブ
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-1-17 エキニア新宿ビル5F,35.693183,139.704177,RIZAP WOMAN(ライザップ ウーマン) 新宿店,スポーツクラブ/フィットネスクラブ
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-44-1 東京都健康プラザ ハイジア5F,35.696697,139.701143,東急スポーツオアシス 新宿店,スポーツクラブ/フィットネスクラブ
新宿区,河田町,-,東京都新宿区河田町3-52 1F,35.695793,139.721092,エニタイムフィットネス 新宿河田町店,スポーツクラブ/フィットネスクラブ
新宿区,霞ヶ丘町,-,東京都新宿区霞ヶ丘町2-4,35.67595,139.717975,神宮球場 室内球技場,スポーツ施設/運動公園
新宿区,霞ヶ丘町,-,東京都新宿区霞ヶ丘町2-1,35.677291,139.717463,明治神宮外苑 打撃練習場,スポーツ施設/運動公園
新宿区,戸山３丁目,-,東京都新宿区戸山3-18-1,35.706646,139.709168,元気館,スポーツ施設/運動公園
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-35-3 BIGBOX高田馬場 3F/4F/5F,35.712595,139.704288,西武フィットネスクラブ BIGBOX高田馬場店,スポーツクラブ/フィットネスクラブ
新宿区,高田馬場４丁目,-,東京都新宿区高田馬場4-29-27,35.711429,139.69805,シチズンプラザ,スポーツ施設/運動公園
新宿区,高田馬場４丁目,-,東京都新宿区高田馬場4-29-27 A館3F,35.711429,139.69805,シチズンプラザ ボウリング場,スポーツ施設/運動公園
新宿区,四谷３丁目,-,東京都新宿区四谷3-4 四谷SCビル2F,35.687604,139.721609,KODLAB fitness boxing(コドラボ フィットネス ボクシング),スポーツ施設/運動公園
