指標名,国際会議,,,,,,,,,,,,
出典,日本政府観光局（JNTO）,,,,,,,,,,,,
年次,2018年,,,,,,,,,,,,
URL,https://mice.jnto.go.jp/documents/statistics.html,,,,,,,,,,,,
備考,,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,会議名,会場数（都心五区外含め）,期間,"参加国数
（日本含）",外国人参加者数,国内 参加者数,参加者総数
港区,芝公園３丁目,虎ノ門,"3-chōme-3-1 Shibakōen, Minato City, Tōkyō-to 105-8560, Japan",35.658962,139.7481391,東京プリンスホテル,"OECD東南アジア地域プログラム
（SEARP）閣僚会合",1,"03/08～
03/09",28,67,105,172
港区,芝公園３丁目,虎ノ門,"3-chōme-5-8 Shibakōen, Minato City, Tōkyō-to 105-0011, Japan",35.6597222,139.7452778,機械振興会館,ISO/ IEC/ JTC 1/ SC 6 （ミーティング）,1,"08/27～
08/30",8,7,45,52
港区,芝公園３丁目,虎ノ門,"3-chōme-3-1 Shibakōen, Minato City, Tōkyō-to 105-8560, Japan",35.658962,139.7481391,東京プリンスホテル,アフリカ開発会議(TICAD)閣僚会合サイドイベント「アフリカのきれいな街プラットフォーム」,1,"10/05～
10/05",16,25,125,150
港区,芝公園３丁目,虎ノ門,"3-chōme-3-1 Shibakōen, Minato City, Tōkyō-to 105-8560, Japan",35.658962,139.7481391,東京プリンスホテル,アフリカ開発会議   TICAD閣僚会合,1,"10/06～
10/07",93,700,300,1000
港区,芝公園３丁目,虎ノ門,"3-chōme-3-1 Shibakōen, Minato City, Tōkyō-to 105-8560, Japan",35.658962,139.7481391,東京プリンスホテル,"アジア・アフリカ法律諮問委員会
（AALCO）",1,"10/08～
10/12",46,200,50,250
港区,芝公園３丁目,虎ノ門,"3-chōme-5-8 Shibakōen, Minato City, Tōkyō-to 105-0011, Japan",35.6597222,139.7452778,機械振興会館,ISO/TC130 総会,1,"10/14～
10/19",18,82,20,102
新宿区,市谷本村町,-,"5-1 Ichigayahonmurachō, Shinjuku City, Tōkyō-to 162-8801, Japan",35.6927,139.7287308,防衛省国際会議場,平成29年度アジア太平洋安全保障ワークショップ,1,"01/24～
01/25",11,11,150,161
千代田区,四番町,-,"5-3 Yonbanchō, Chiyoda City, Tōkyō-to 102-0081, Japan",35.6888254,139.7382287,科学技術振興機構 東京本部（サイエンスプラザ）,第4回革新的構造材料 先端計測拠点   国際会議/国内連携会議,1,"11/13～
11/15",3,5,120,125
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,森林減少ゼロに貢献するグローバル・サプライチェーンの推進に関する国際シンポジウム,1,"01/23～
01/24",5,10,300,310
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,第23回アジア・太平洋薬物取締会議（A- DEC23）,2,"02/06～
02/08",33,65,45,110
