指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2020/3/10取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面②,およそ住所
渋谷区,本町１丁目,-,東京都渋谷区本町１-１６-３,35.67875,139.681398,幡代,4,0.25 ,ハチ公バス,春の小川ルート,笹塚駅方面,渋谷区役所方面,東京都渋谷区本町
渋谷区,本町１丁目,-,東京都渋谷区本町１-１６-３,35.67875,139.681398,幡代,4,0.25 ,京王バス,渋63,中野駅（東京都）方面,渋谷駅方面,東京都渋谷区本町
渋谷区,本町１丁目,-,東京都渋谷区本町１-１６-３,35.67875,139.681398,幡代,4,0.25 ,小田急バス,宿44(武蔵境駅-新宿駅),新宿駅西口方面,武蔵境駅南口方面,東京都渋谷区本町
渋谷区,本町１丁目,-,東京都渋谷区本町１-１６-３,35.67875,139.681398,幡代,4,0.25 ,都営バス/京王バス,渋６６,渋谷駅方面,阿佐ヶ谷駅前方面,東京都渋谷区本町
新宿区,本塩町,-,東京都新宿区四谷本塩町１５-１４,35.691093,139.730543,防衛省前,1,1.00 ,都営バス,高７１,九段下（バス）方面,高田馬場駅前方面,東京都新宿区市谷本村町
港区,北青山３丁目,-,東京都港区北青山３-５-２８,35.665925,139.711622,表参道駅,2,0.50 ,ちぃばす,青山ルート,赤坂見附駅方面,六本木ヒルズ方面,東京都港区北青山
港区,北青山３丁目,-,東京都港区北青山３-５-２８,35.665925,139.711622,表参道駅,2,0.50 ,ハチ公バス,神宮の杜ルート,代々木駅方面,渋谷区役所/渋谷駅ハチ公口方面,東京都港区北青山
港区,北青山２丁目,-,東京都港区北青山２-１２-２７,35.669608,139.715153,北青山三丁目〔都営バス〕,1,1.00 ,都営バス,黒７７,千駄ヶ谷駅前方面,目黒駅前方面,東京都港区北青山
港区,北青山１丁目,-,東京都港区北青山１-６-３,35.674955,139.722193,北青山一丁目アパート前,1,1.00 ,都営バス,品９７,新宿駅西口方面,品川駅高輪口方面,東京都港区北青山
新宿区,北新宿２丁目,-,東京都新宿区北新宿２-２１-４,35.695509,139.689392,成子坂下,3,0.33 ,西武バス,宿２０他,新宿駅西口方面,池袋駅東口方面,東京都新宿区北新宿
新宿区,北新宿２丁目,-,東京都新宿区北新宿２-２１-４,35.695509,139.689392,成子坂下,3,0.33 ,都営バス,宿９１,新代田駅前方面,新宿駅西口方面,東京都新宿区北新宿
新宿区,北新宿２丁目,-,東京都新宿区北新宿２-２１-４,35.695509,139.689392,成子坂下,3,0.33 ,都営バス,王７８,王子駅前（バス）方面,新宿駅西口方面,東京都新宿区北新宿
新宿区,北山伏町,-,東京都新宿区北山伏町２-５,35.699249,139.729274,山伏町,2,0.50 ,都営バス,橋６３,新橋駅前方面,小滝橋車庫前方面,東京都新宿区北山伏町
新宿区,北山伏町,-,東京都新宿区北山伏町２-５,35.699249,139.729274,山伏町,2,0.50 ,都営バス,飯６２,都営飯田橋駅前方面,小滝橋車庫前方面,東京都新宿区北山伏町
中央区,豊海町,-,東京都中央区豊海町６-６,35.653751,139.769501,豊海水産埠頭,3,0.33 ,都営バス,都０４,東京駅丸の内南口方面,,東京都中央区豊海町
中央区,豊海町,-,東京都中央区豊海町６-６,35.653751,139.769501,豊海水産埠頭,3,0.33 ,都営バス,門３３,亀戸駅前方面,,東京都中央区豊海町
中央区,豊海町,-,東京都中央区豊海町６-６,35.653751,139.769501,豊海水産埠頭,3,0.33 ,都営バス,直行０２,東京駅八重洲口方面,,東京都中央区豊海町
新宿区,弁天町,-,東京都新宿区弁天町１１４-４,35.702267,139.726652,牛込弁天町,1,1.00 ,都営バス,白６１,新宿駅西口方面,練馬駅方面,東京都新宿区弁天町
