指標名,ホテル,,,,,,,,
出典,Hotels.com,,,,,,,,
年次,GPCI2021,,,,,,,,
URL,https://hotels.com/,,,,,,,,
備考,GPCI-2020：1332軒　GPCI-2021：1649軒,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,室数,ホテルURL
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 503 - 503 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642852672
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 101 - 101 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642836320
品川区,上大崎２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.634136,139.714688,Nonsmoking Double bed Width 150cm With Sofa / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1660088896
品川区,西大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.601186,139.723154,Glamping Capacity 12 People Safe and Secure / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1951253632
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 1002 - 1001 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642836032
品川区,上大崎２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.634136,139.714688,Smoking Double bed Width 150cm With Sofa / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642754912
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 803 - 803 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642853248
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 1401 - B1 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642836800
品川区,東品川１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.618647,139.745582,NEW House! 1 House With a Lift Entire Home Rental] / 12 Minutes on Foot to Shinagawa Station / 5 Minutes to Shinbaba Station / Free Pocket Wifi,0,1,https://www.hotels.com/ho1183757408
品川区,東中延１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.610506,139.714614,Deluxe Room 42m2 Max 6 People / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1724650944
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 603 - 603 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642853024
品川区,東品川２丁目,-," 2-1 Higashi shinagawa, Shinagawa-ku, Tokyo",35.621872,139.747125,Chartered Building Water Cottage Superior Twin / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1950205760
品川区,東中延１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.610506,139.714614,Deluxe Room 47m2 max 7 People / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1724650752
品川区,南品川１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.614609,139.741574,Private Accommodation With Breakfast / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1368171936
品川区,上大崎２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.634136,139.714688,Smoking Single bed Width 120cm / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642755552
品川区,豊町２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.609139,139.723302,Big 2-story House--up TO 12ppl--10 Mins to Shinagawa by Train--free High Spee,0,1,https://www.hotels.com/ho2178184672
品川区,上大崎２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.634136,139.714688,Smoking Semidouble bed Width 120cm / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642755424
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,EOS Hotel Blue - 1301 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642837312
品川区,東五反田３丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.630437,139.729758,83/shinagawa / Wifi / Max 6ppl,0,1,https://www.hotels.com/ho1160622112
品川区,南品川４丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.613288,139.737522,ｷ 3//9/,0,1,https://www.hotels.com/ho2178184384
品川区,西大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.601186,139.723154,Japanesestyle Modern Capacity 12 People / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1951228352
品川区,上大崎２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.634136,139.714688,Nonsmoking Semidouble bed Width 120cm / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642755200
品川区,南品川４丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.614465,139.737967,Popular Shinagawa Area 2DK 4F Station Near the Me / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1879614912
